WiringPi2 pin map for AB Electronics UK IO Pi board
http://www.abelectronics.co.uk/products/3/Raspberry-Pi/18/IO-Pi-32-Channel-Port-Expander-for-the-Raspberry-Pi-computer-boards

WiringPi2 pins  = IO Pi output

65 = IC 1 pin 1
66 = IC 1 pin 2
67 = IC 1 pin 3
68 = IC 1 pin 4
69 = IC 1 pin 5
70 = IC 1 pin 6
71 = IC 1 pin 7
72 = IC 1 pin 8
73 = IC 1 pin 9
74 = IC 1 pin 10
75 = IC 1 pin 11
76 = IC 1 pin 12
77 = IC 1 pin 13
78 = IC 1 pin 14
79 = IC 1 pin 15
80 = IC 1 pin 16

81 = IC 2 pin 1
82 = IC 2 pin 2
83 = IC 2 pin 3
84 = IC 2 pin 4
85 = IC 2 pin 5
86 = IC 2 pin 6
87 = IC 2 pin 7
88 = IC 2 pin 8
89 = IC 2 pin 9
90 = IC 2 pin 10
91 = IC 2 pin 11
92 = IC 2 pin 12
93 = IC 2 pin 13
94 = IC 2 pin 14
95 = IC 2 pin 15
96 = IC 2 pin 16
